index radius fiPEG fiRNA psi
0 11.339289449053856 0.014999999999999998 0.16543917782634368 53.02747326221026
1 9.0 0.015 0.17807299682618613 38.841349694862096
2 11.339289449053856 0.014999999999999998 0.14695860385991305 62.73569161978902
3 11.339289449053856 0.014999999999999998 0.17374914731804564 48.127620277185116
4 11.339289449053856 0.014999999999999998 0.2054109924567285 26.699114799924395
5 12.980246132766672 0.014999999999999996 0.15358324989971947 63.65453377338988
6 11.339289449053856 0.014999999999999998 0.1291915326566818 70.53693682703107
7 11.339289449053856 0.014999999999999998 0.10352183640522018 79.37261035660377
8 9.0 0.015 0.02580066099350391 88.94234142458346
9 11.339289449053856 0.014999999999999998 0.17880318416516452 44.98994930041181
10 9.0 0.015 0.1351107077990283 60.097710921572535
11 11.339289449053856 0.014999999999999998 0.05904304101865755 89.24958635773473
12 11.339289449053856 0.014999999999999998 0.0952948933954461 81.66405535625539
13 12.980246132766672 0.014999999999999996 0.13858050094071825 70.79560532343491
14 9.0 0.015 0.11921556356654531 66.40507393125307
15 11.339289449053856 0.014999999999999998 0.06585006223716866 88.09722143674014
16 11.339289449053856 0.014999999999999998 0.16511331231772508 53.212925849404044
17 11.339289449053856 0.014999999999999998 0.09054051544470355 82.8815758063228
18 9.0 0.015 0.17698270031896124 39.45322828807225
19 12.980246132766672 0.014999999999999996 0.052015520587700106 92.71052641280959
20 9.0 0.015 0.2821930109490885 -27.304876470985445
21 11.339289449053856 0.014999999999999998 0.12404646103269666 72.52811850528978
22 11.339289449053856 0.014999999999999998 0.06415896671060854 88.39387545102501
23 11.339289449053856 0.014999999999999998 0.1706693594216286 49.98162397977804
24 11.339289449053856 0.014999999999999998 0.12094963901445971 73.67123352621014
25 12.980246132766672 0.014999999999999996 0.11376211434171463 80.02600799209154
26 11.339289449053856 0.014999999999999998 0.23097612450096766 7.08160072842528
27 9.0 0.015 0.2425712860929986 -1.7548992952270894
28 11.339289449053856 0.014999999999999998 0.12335142690453023 72.78825094443972
