PID,Final_Radius_nm,fiPEG,fiRNA,Birth_Time,Merge_Count,Num_Ancestors,Num_Parents,Num_Children,Is_Initial
1,9.0,0.015,0.17807299682618613,0.000000e+00,0,0,0,0,True
8,9.0,0.015,0.02580066099350391,0.000000e+00,0,0,0,0,True
10,9.0,0.015,0.1351107077990283,0.000000e+00,0,0,0,0,True
14,9.0,0.015,0.11921556356654531,0.000000e+00,0,0,0,0,True
18,9.0,0.015,0.17698270031896124,0.000000e+00,0,0,0,0,True
20,9.0,0.015,0.2821930109490885,0.000000e+00,0,0,0,0,True
27,9.0,0.015,0.2425712860929986,0.000000e+00,0,0,0,0,True
30,9.0,0.015,0.24164241628468888,0.000000e+00,0,0,0,0,True
41,9.0,0.015,0.08800590061746608,0.000000e+00,0,0,0,0,True
44,9.0,0.015,0.048710228226368786,0.000000e+00,0,0,0,0,True
48,9.0,0.015,0.0473719007176699,0.000000e+00,0,0,0,0,True
51,9.0,0.015,0.0636242077730804,0.000000e+00,0,0,0,0,True
54,9.0,0.015,0.13224464155873786,0.000000e+00,0,0,0,0,True
60,9.0,0.015,0.23689921183455773,0.000000e+00,0,0,0,0,True
61,9.0,0.015,0.15980324147371996,0.000000e+00,0,0,0,0,True
62,9.0,0.015,-0.10412878226687046,0.000000e+00,0,0,0,0,True
63,9.0,0.015,0.2651977619274898,0.000000e+00,0,0,0,0,True
68,9.0,0.015,0.3105564047205405,0.000000e+00,0,0,0,0,True
70,9.0,0.015,0.483436014041621,0.000000e+00,0,0,0,0,True
73,9.0,0.015,0.06043470541370152,0.000000e+00,0,0,0,0,True
78,9.0,0.015,0.037277509832905,0.000000e+00,0,0,0,0,True
83,9.0,0.015,0.1919101931906731,0.000000e+00,0,0,0,0,True
92,9.0,0.015,0.3303844738271048,0.000000e+00,0,0,0,0,True
96,9.0,0.015,0.08626517714191614,0.000000e+00,0,0,0,0,True
99,9.0,0.015,0.14383741221036678,0.000000e+00,0,0,0,0,True
100,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
101,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
102,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
104,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
106,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
107,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
108,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
109,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
111,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
112,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
113,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
114,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
117,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
118,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
119,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
120,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
121,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
122,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
123,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
124,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
126,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
127,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
129,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
130,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
132,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
133,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
134,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
137,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
138,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
139,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
141,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
142,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
143,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
144,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
145,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
146,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
147,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
148,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
149,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
150,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
151,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
152,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
154,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
155,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
156,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
157,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
158,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
159,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
160,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
